start	end	text
0	3400	So we're going to go into the full moon meditation now.
3780	7840	The full moon meditation, it's a time of giving thanks.
7840	10840	It's a time of recognizing that you've been blessed.
10980	13920	It's a time of recognizing that you've received.
15080	17480	It's a time of great appreciation.
18180	22020	It's a time of saying yes to being alive,
23000	26380	to saying yes to the life that's flowing through you.
27040	29480	It's a time of affirming life.
30700	36960	So the full moon is really that sense of the fullness of fulfillment.
40320	49840	And this particular meditation is a meditation of deep appreciation that allows you to see what's being received.
50560	58540	But also because sometimes with the full moon, it will bring forward times of great challenges, for example.
60000	64460	And it allows you to actually see at the core and at the center of every challenge that
64460	70640	you go through, that there's divine intelligence and the divine pulse is at the center of everything.
72020	73680	You're always being guided.
74680	76240	You're always being supported.
77400	85960	There's always intelligence around you that is for your progression, for your advancement,
85960	87980	or your evolution.
90200	93660	And the full moon really brings forward
93660	96960	that massive appreciation for all of that.
102400	104640	So I'm just going to invite you
104640	107880	to come into a space of meditation,
108400	112480	come into a space of center
112480	114200	in your being and yourself.
119340	122780	And for the full moon meditation, we're going to start with the heart.
126280	130080	Just witnessing a light switching on at the center of your heart.
133160	137880	Witness as this light gets stronger, brighter, more intense.
142200	149740	and witness as it moves into the waters of your body, moves into the waters of your veins,
149760	163700	of your blood, activating the waters of your body with divine intelligence.
173000	180960	Witnessing the frequencies as they are activated in your blood, in your waters.
183120	189580	Witnessing the patterns that are made and the intricate intelligence that exists.
193340	200700	and witnessing the heart as the organ, literally the musical organ,
202300	210580	that is instrumental in creating blueprints through vibration.
213780	217600	The heart is the center of the feeling and the emotional body.
226200	237600	And those feelings and emotions are interpreted within the heart as vibratory pulses that
237600	244720	send out rhythms into the bloodlines and into the waters that create patterns.
244720	252800	and those patterns are matched in the energetic frequencies all around you.
256060	264520	It's one of the reasons why the heart is incapable of lying because a heart can only ever
264520	274000	vibrate exactly what's there as a frequency, as a blueprint, as a template into the bloodlines
274720	284060	liquids of you that create templates and blueprints in the
284060	287540	subtle energies and in the field of you.
295480	299140	So in this moment, let the vibration of the heart open up
299140	300100	to appreciation.
303640	308000	Let the vibration of the heart open up to a sense of fulfillment.
315760	325000	Let the vibration of the heart open up to love that comes from deep-seated gratitude.
333880	337420	Witness as a heart says yes to what has been received.
343520	346820	Witness as a heart says yes to divine intelligence.
358120	364500	and witness as a heart says no to the things that are not in alignment.
367900	371540	Witness as a heart creates boundaries and holds integrity
374460	377540	for things that are not a resonant match.
381080	383980	And it does that so that it can say yes.
384300	387840	It says no so that it can say a deeper yes.
394920	402320	and witness as this yes is sent to every single cell of your body
405520	411860	and it's sent to every single cell of your body as nourishment and nutrients
418180	422680	It's sent to every single cell of your body as aliveness and life.
431200	437180	And witness as the cells open up to receive this sense of aliveness, this sense of life.
444020	449420	witness how the building blocks and the intelligence within the cell
451000	453180	is given a sense of well-being
461840	463600	a sense of integrity
466540	468660	a sense of empowered strength
477600	484600	witness as this yes moves into the cells of the bones into the cells of the skeletal structure of
484600	484820	you
489680	493420	so that the way that you stand the way that you sit
493600	501200	The way that you move in the world around this yes has empowered integrity at the center of it.
507980	517840	See how it moves into your bone marrow and into the creative elements of your structure and strength.
531980	542080	Seeing how this yes moves into the flesh of you, into the skin of you, so it radiates
542080	548380	and hums and vibrates on the surface levels of your body.
557500	567680	See how this appreciation and gratitude moves into the organs, the lungs, the liver, the
567680	574240	kidneys, every single organ of your body.
579460	587240	Humming and vibrating with appreciation, with gratitude, with life, with yes.
598620	601460	See how it moves into the brain?
604800	608080	into the pineal gland at the center of the brain,
613800	615820	into the entire head space,
616700	619980	this frequency of appreciation, of gratitude,
622240	623860	of life, of yes.
633100	638040	and now witness how this appreciation moves out into your energy field
642200	644780	how it vibrates and hums
647520	649700	in the auric field of you
659340	667940	See how this yes, this appreciation, this gratitude begins to meet the world around you.
670060	675060	So anybody else saying yes, anybody else feeling appreciation,
675360	682080	anybody else feeling this deep-seated gratitude can feel a match.
686780	688840	can feel a resonance.
