start	end	text
5340	11420	Okay, so coming into breath, coming into breathing from the diaphragm,
15320	19220	filling your lungs on your in-breath, emptying them on your out-breath,
25920	30800	and just opening up for the wisdom of the phases of the moon
32480	35680	opening up for a connection with the soul of the moon
39180	44420	opening up for a connection with our perspective
45900	52360	of the moon so many things coming forward in just that beginning statement
54960	63460	so the first thing to be said here is that the moon has around about a 28 day cycle
64840	73660	and when the moon is cycling around the earth it only ever shows one face or one aspect of itself
74800	87400	And that aspect of itself is highly influential in terms of the way that it ripples energetically through the earth.
88540	92580	It really, really affects the water of the earth.
92800	95740	It affects the way that water moves through the body.
95740	103520	It affects the way that water moves through the seas, the oceans, the rivers.
104420	110300	it affects all of that and it also affects reproduction as a result of that because
111220	120760	many times reproduction is very very dependent on the movement of the waters within the body
121300	126360	the movement of the liquids within the body and also the movement of the liquids within
127200	134480	the ocean and the movement of the liquids within the waters of the earth itself.
135660	139020	So we think about rain patterns, for example.
139420	143520	We think about the ways that the soil and the earth receives water.
145720	150300	The moon plays a massive part in all of those rhythms, basically,
150300	159300	because as it moves around the earth it basically moves in a way that it it sort of pulls energy
159300	166600	with it all around the earth and as it's pulling that energy through it is actually creating
166600	172480	ripples on the earth and the waters of the earth the other part to be said about the moon as well
172480	181940	is that basically it's reflecting the sun and it's bringing a completely different perspective
181940	194540	of the reflection of the sun. When the new moon happens, the sun and the moon are
195840	202900	next to each other and they're literally holding hands as equal partnership then
203580	209960	and it's one of the reasons why it gives the portal for the new beginnings to occur
212060	220240	and then as the moon begins to move it begins to reflect elements of the sun from the new moon it
220240	226620	starts to open out and you can see more of the moon because of the reflection of the sun into it
229140	237480	and then when we get to the full moon the sun is right opposite the moon and so it reflects
237480	243900	completely 100 percent into the moon that allows the moon to light up with the sun's reflection
246500	255120	and we are basically being influenced by this dance that the sun and the moon are having with
255120	264700	each other when we're working with nature in this way we can actually work with this rhythm of the
264700	272140	dance to harness the energy of this relationship that the sun and the moon are having and also to
273900	277540	portals that they create in collaboration with each other.
281460	287040	So when we're moving into the waxing moon,
287480	292960	we're literally moving into more of the sun being reflected into the moon.
293340	299140	And we're moving into that sense of revealing more and more of something,
299140	307760	revealing more and more of the dynamics inherent in a particular kind of energy and frequency
307760	313120	so then if you're opening up for abundance this is really
313120	320220	revealing more and more the dynamics of growth progression prosperity openings
322540	331140	and you're able to see more and more of what it is that you're manifesting this is why the
331140	337680	guidance can come through with much more clarity when the moon is waxing when the moon is grow
337680	348160	when the moon is growing in terms of light it allows you to grow the light of whatever it is
348160	353160	that you're creating. So just taking a moment to breathe and witness.
360860	368760	Because as this makes its way into the cellular knowing of you, you become
370640	373300	the third party in this collaboration.
376340	382840	you create a triad with the moon and the sun in this collaboration
385700	394080	and the triad connects directly to the earth so you become a catalyst not only for the
394080	400940	manifestations that you're doing in your own life but also as a manifestation catalyst
400940	405800	in the way that you connect with the earth.
414180	417240	When it comes into full moon,
419960	423400	you're coming into that place of real appreciation.
423400	425460	Now, what does appreciation do?
425460	434060	it opens you up to the energetics of flow and receiving.
436260	443620	When you say thank you, there's something in the heart that opens up that says I've received something.
445120	448320	And in that opening up, there is flow.
450240	455780	when you say i appreciate there is something in the heart that is appreciated
455780	461320	it's appreciating it's growing as a result of that
463080	469620	when you say i am grateful there is something in the heart that goes right into the center
469620	476960	and the core of the heart as something a seed that's dropped in there that is actually opening
478320	485020	and expanding its light outwards, radiating its light outwards, gratitude.
487740	503640	So when we are in this place of appreciation, of gratitude, in the full moon, we become a mirror of light meeting light.
503640	513700	the sunlight meets the moonlight meets our light the triad is complete and the only way
513700	520620	that the sunlight meets the moonlight meets our light is if we are in appreciation if we are in
520620	524540	gratitude just breathing and witnessing
532920	541540	and then we come into the waning moon we come into the moon where the sun
541540	551240	is becoming less reflective the moon is becoming darker and in those times we get to move into the
551240	557500	darkness of our own being this is a time where we release this is a time where we let go
558120	570460	this is a time where we allow ourselves to heal but by by actually saying i no longer need this
570460	579320	so with a deep bow of appreciation thank you i release i let go i release i let go i release i
581240	588500	use the darkening of the moon as a way to release.
589440	591460	And it's lessening the light.
593040	596980	So it's basically taking the concentration,
596980	600500	taking the consciousness out of something
600500	602760	that might be dying or dead, for example.
609160	618500	then when we come into that closing stage of the waxing the waning moon sorry when we come into
618500	624280	the closing stage of the waning moon we're literally coming into the stage where we say
624280	633500	thank you very much for everything that has been released. I now commit to closing the door.
634540	643440	I now commit to burying this and allowing it to return back to the earth. I now commit
643440	652300	to releasing this energy and allowing it to become something else. I give this energy back.
654280	659040	it is now available to take a different form
661240	667420	this is so necessary in the part of the process but generally sometimes what happens is that we
667420	678080	we hold on to something that's dead or dying and the energy is already transforming it's already
679500	686780	released but because we're holding on to it it has no expression of release so then it becomes
686780	694580	part of us and it it can lead to a sense of feeling decay within our own cells illness disease
694580	702160	happens as a result of this holding on because the energy is released it's it's already transforming
702160	708940	into something else and so it requires us to release it for that transformation.
712720	720660	When we can actually work with these phases we come into this sense of homeostasis,
720900	726120	we come into the sense of balance with nature and with the earth itself.
732960	736120	now i'm just being brought into that phase
738800	741580	where just before the full moon
743460	752540	where we let go and we allow and just before the closing where we also let go and allow
