start	end	text
0	7540	So we're going to start first with the new moon activation, which is essentially an activation around new beginnings.
8060	17000	These will come through as quite powerful cellular activations, basically, but they'll come through in meditation form.
18820	39680	So if you just come into a place where you're centering yourself within your body, closing your eyes, making a connection with the bottom of your feet and the base of your spine simultaneously.
41080	47660	So essentially making a connection with the root of you.
53120	60920	and just seeing a light switching on at your base and then seeing that light moving down
62060	67260	to switch on the lower half of your body so that your thighs, your knees, your calves,
68360	72480	your ankles, your feet are all lit up from the inside
76660	81740	and notice how your feet are meeting the earth beneath you
83620	85460	from that lit state
89660	95180	and just noticing as the earth comes up to meet you in this activated state
96080	101780	your activation is demanding a reflection from the earth that is also activated
108200	111420	And just witnessing this light moving up your body,
111600	113920	so that is filling your abdominals,
115400	121100	filling your chest, moving down into your arms, forearms, hands, fingers,
122360	123780	up through your throat,
125360	127640	up through your head to the top of your head.
129720	136100	and taking a moment to witness that on the inside you are activated, switched on, lit up.
137660	147640	And this activation is just coming into conscious connection with yourself on the inside
147640	153620	and activating divine consciousness on the inside.
157920	165120	And now witnessing a laser beam of light moving down from the feet to the center of the earth,
165400	173820	and simultaneously witness a laser beam moving from the crown of your head into the center of
173820	174360	the cosmos.
180820	189020	Witness as you connect on a frequency level to the heartbeat of the cosmos and you connect
189020	192460	on a frequency level to the heartbeat of the earth.
197440	203920	and witness yourself as the catalyst and conduit for this conscious connection.
209520	216460	Now, when we speak the language of new beginnings, we're speaking the language of the unknown.
216460	224080	time we're speaking the language of coming outside of the parameters that you have created
224080	234420	and the experiences that you have had and the ways that you've accumulated perspectives
234420	245960	over your time to validate whatever model you have of the world when we speak about
246460	253080	beginnings, we're literally speaking about letting that go. It could be letting it go for a split
253080	259320	moment. It could be letting it go forever. It could be letting it go for a time. But it's really
259320	270420	relinquishing all that you think you know, so that you can open up to the possibilities that exist
270420	272160	past your known reality.
276460	281500	And when we're opening up to possibilities in this kind of way,
281940	288740	we're really opening up for ourselves as a physical entity
288740	293460	to be schooled by ourselves as an infinite entity.
294360	296040	Just breathing and witnessing.
301600	306340	It's where your soul begins to school your humans.
308720	312200	and where the divine begins to school your soul.
319600	327100	This is where you are encouraged to dream big dreams.
328960	335160	But dreaming big dreams, not from the place of the elusive lottery winning,
338080	343040	where it is a dream that actually is nice in the mind,
343260	346440	but is not in anywhere near your cellular structure.
346440	351040	So it's not physical, it's not rooted, it's not in the reality.
355900	361880	This kind of a dream is a dream that humans are very familiar with,
361880	369020	but it's also a dream that basically is akin to unfulfilled desires
369020	375140	because it is a dream that sort of stays in the dream state
375140	379560	and it never finds its way into the root of the reality.
381880	384680	The encouragement is to dream big
385980	391700	and to keep rooting that dream into the core of your earth
391880	393620	into the core of your reality.
398160	400240	It is for your dreams to feel stretchy,
401820	403960	for your dreams to feel slightly uncomfortable,
405860	408620	for your dreams to feel like unknown to you.
409560	411640	You have no idea how you're gonna do that.
413800	417200	And at the same time, you are engaged
418040	419800	and actively switched on
419800	423280	to find out how you're going to do that.
424660	426840	You're engaged to the guidance.
426840	429600	You're engaged to the one foot in front of the other.
430940	433360	You're engaged in your reality
433360	436400	to bringing these dreams into form.
440760	444100	And essentially, this is the reason
444100	448960	why most humans incarnate into this time and space.
450480	459800	to have the experience of being the catalyst of an entire universe.
465440	469020	So in this moment, in this space, in this time,
472620	480780	Open for your soul to bring forward a vision of what your big dream is.
491460	496820	Open for your soul to bring forward a vision.
499020	502240	of what your big dream is.
515940	528200	And just allowing this to ruminate in the mindscape, to ruminate at the center of the
529840	533520	to ruminate in the energy of the intuition,
535660	537300	to ruminate in the third eye,
541360	543240	letting the frequency of this vision
543240	545680	fill your entire brain cavity.
549000	551740	So both the subconscious and the unconscious,
556500	562200	and the conscious and the aware elements are all being activated at the same time.
568040	575800	So this frequency moves forward into your reality as you're walking towards it
575800	580560	and it moves backwards into your past reality
580560	583100	so that everything that comes from the past
583100	590500	is supporting the present of this vision and dream.
598420	603440	Just witnessing as this frequency moves
603440	606160	into the left and the right hemispheres of the brain.
612980	620860	So that the doing elements of yourself, the elements that are more masculine, the elements
620860	628640	that are more projective, forward moving, are being supported and activated.
630460	633520	and the creative elements, the subtle elements,
633540	638700	the receiving elements are switched on and activated.
650880	654580	And now moving this vision down into the heart space
654580	656360	as a frequency.
658640	666600	The heart has already got the message, but you're just bringing conscious awareness to your heart.
668940	675640	The heart will be the delineation in terms of what feels yes and what feels no.
678900	688260	The heart will be the element that will bring the agreements into realization.
691140	697060	as you agree to this big vision the realization comes in
702040	705880	and the encouragement is to connect in with the heart
707680	716060	because in this way you're connecting into the clarity of this delineation
717080	725280	the clarity of the yes and the clarity of the no as it supports your vision moving forward
735220	743940	just allowing this frequency now to vibrate in the throat and vibrate within the vibratory field of you
745400	755320	so that your vibration, the energy around you that moves and hums is activated by your vision.
755960	763820	But it's also activated by the clarity of your third eye and activated by the clarity of your heart at the same time.
766580	771260	And these two activations are supporting the way that the vibration comes forward
771260	774920	and clarifying the way that the vibration comes forward.
782360	788180	Bringing this energy down into the navel point, the solar plexus,
790560	795720	so that your identity and your I am
797900	801760	is being guided into this big vision.
805500	809800	So that your divinity is using this vision as a way
810720	815140	to open portals for you to connect deeper into
816240	820300	the elements of your own infinite self.
827880	833440	And just a note here that basically anything that happens, whether it be in your business,
833780	842420	whatever comes forward as a vision for you, first off is basically on a frequency level
842420	848960	and also on a soul and divine level is simply a portal for you to get to understand and know
848960	856700	yourself on deeper levels. The human interacts with it in a very different way because a human
856700	863400	is interacting in the world and the world is the only thing that a human knows. And so then it
863400	868640	becomes more about all of the elements within the business and how the business operates and
868640	873300	you know how you bring this forward and how you market it and how you sell it and all of these
873300	883480	things but essentially even all of those things are simply portals for your consciousness
884480	893280	to get to understand yourself as a divine being on deeper and wider and greater levels
901460	908380	Taking this down into the sacral of you, taking it down into the belly space of you, into the womb of you.
914980	921480	And also into all of the channels of the lower part of your body.
930580	936200	these are the areas that create these are the areas that
938660	948360	open up for the incubation to occur and give space for the growth to occur give space
949160	952560	for the formation to occur.
955720	960100	So taking this big vision into the womb space,
961920	970340	taking this big vision into the yoni of you, into the channel of you,
973680	976000	so that you essentially become
981100	987620	impregnated with this vision and impregnated from the point of view of just allowing your
987620	997300	womb space to become the incubator that grows this and brings all of the elements of form
997300	1001940	together to create the blueprint of it that will then be matched in the world.
1004600	1010020	And noticing that the womb space knows exactly what to do. We're bringing consciousness into this
1010020	1019220	so that you can begin to understand with clarity that all elements of yourself are already switched
1019220	1028940	on in terms of intelligence, they already know exactly what to do. We're just educating the human.
1037420	1046400	And just bringing this energy down into the legs and into the feet of you so that you can bring
1046400	1054060	this frequency to the earth and witnessing as this frequency goes right into the center
1054060	1054740	of the earth.
1059360	1064820	And as it does that, it illuminates all of the pathways on the surface of the earth,
1065920	1072020	all of the grids on the surface of the earth, so that you're easily guided in physical form
1074180	1075660	to your big vision.
1089880	1093720	Just taking a moment to witness yourself as fully activated.
1095200	1099420	Witness your vision as fully seeded and planted.
1104720	1111360	and witness how the intelligence comes together to weave form.
1128380	1133720	this is a meditation that you can do at the beginning and at the start of anything that's
1133720	1140620	coming forward whether it be a project whether it be something that you're beginning within
1141360	1149780	a new business, whether it be an idea that's coming forward, a collaboration that's coming forward,
1152780	1162020	that you open up for the biggest vision for it that your soul can bring forward.
1164200	1172860	and then you take that vision and you bring it into all of the energy portals within your being
1174780	1177200	and allow it to be seeded
1179720	1183180	and allow the earth to multiply it.
1189660	1194480	so bringing your energy up from the center of the earth to the bottom of your feet
