start	end	text
0	2560	Coming into meditation.
11280	17300	Just coming into alignment with your solar plexus.
20720	23160	Coming into alignment with your navel point.
27400	30940	coming into alignment with your sense of personal power
35620	42220	coming into alignment with yourself as a divine expression a divine entity
46880	50380	coming into alignment with yourself as a sovereign being
59520	62960	this is a space where we get to clean and cleanse
70520	73700	it's also the space where we honor
75160	83420	our ancestral pathways, our lineage, because through the navel point where we were navel
83420	91660	to navel with our mom in the womb space and where we received nutrients, but we also received
91660	97680	programming. We received a sense of what the world was to be.
100460	106380	and it's very interesting because there is a point in
108080	114780	the womb space story where the grandmother
117100	124820	holds the mother but also holds the granddaughter in her womb at the same time
129580	137240	because as your mother was being formed in the womb of your grandmother,
140240	144960	the conception of you, the egg of you, was also being formed.
146680	154880	And there was a point in that formation where your grandmother held both you and your mother.
156920	164100	and this is a cyclical story that goes past back and back and back
165880	168140	so when you are healing
170620	172980	if you are healing
174740	180900	in a way that's aligning you to a point where you're saying no
182180	190600	to something that actually is no longer serving on this level of lineage
191780	197740	so that you can say a greater yes to the activation of aliveness and life.
199240	205240	You say that no not only for you, but you say that no for your mother.
208260	211060	and you say that no for your grandmother
215120	218980	and your grandmother also was in a womb at one point
222540	225180	as her mother was in the womb of her mother
226760	230840	and this is how we go back lineage generation to generation
234040	237680	frequencies to frequencies being passed through the lineage
240400	244440	and there's a consciousness that we can bring to this letting go process
245880	249240	where we just simply need to recognize
252380	254020	all of what we contain
256320	263880	It's not necessary to go sifting into the lives and the patterns of all of these generations
263880	271340	in the lineage. But the simple recognition of what you contain will mean that when you
271340	280140	let go, you also understand the depth of the letting go. And you also understand yourself
280140	284480	as a catalyst for a deeper sense of healing
284480	288320	across all time, space, and reality.
293480	297180	So taking a moment to really allow your soul
299080	301020	to work with you here,
302720	304700	around all of the no's.
308900	314340	seeing your light switching on at your solar plexus and seeing that light as it begins to
314340	319420	emanate and grow radiate so that it's filling your entire body
325000	331000	and as this light fills your body it brings this sense of your i am the sense of your inner knowing
331000	338760	the sense of you as an individuated thumbprint of source into your awareness.
348440	355400	Allowing this light to fill your body and then move into your auric field.
358220	366680	bringing your unique flavor of source your unique flavor of the thumbprint of source into your auric field
372700	378980	and just seeing this creation moving into the cosmos
380400	383200	bringing your unique flavor of source,
383580	389480	your unique flavor of being the thumbprint of source into the cosmos.
394880	399860	And see it moving into all spaces, all times, all reality.
401860	406620	Bringing divinity into all of it as it expresses through you.
410760	417600	until the awareness comes in that you are the center of the universe.
421380	430040	You are the center of the divinely expressed universe as it occurs through you.
438320	441180	And witness as you say yes to this.
446560	449380	Witness as you say yes to the wholeness of you.
452980	456620	witness as you say yes to all of the ways that you've been gifted
460320	462920	witness as you say yes to being sovereign
466060	467600	yes to being divine
