start	end	text
980	14300	All right, so the waxing moon, the time where the moon is getting bigger, where we are opening
14300	24100	to receiving, opening to abundance, opening to saying yes on greater levels to more of
24100	33100	ourselves saying yes to confidence to esteem to growth to evolution to progression to moving
33100	44920	forward saying yes to as much as we can say yes to basically this is a really good time for um
44920	51540	opening up for growth projects so anything that we're opening up to grow opening up so in a
51540	61500	business for example things like growing clients in a space growing community growing progression
61500	64880	growing financial abundance
67540	73820	saying yes to welcoming in things that feel joyful that are filled with love
79060	84740	and saying yes to the growth element is basically what happens with waxing so as the moon
85600	92700	reveals more of itself as the moon grows in our perspective so that we're also opening up to growth
95560	99200	coming into breath coming into breathing from the diaphragm
99200	102180	filling the lungs as we're breathing in,
102320	104180	emptying them as we're breathing out.
105400	107020	And with this one,
107520	112920	we're being brought down to the root,
113780	120920	being brought to the base of the spine,
122380	125740	but ultimately being brought to the skeletal structure,
126800	133720	so the spinal column and the whole skeletal structure and then being brought to the ways
133720	141380	that we meet the earth with our skeletal structure. So just witnessing as the base of the spine lights
141380	152420	up, witnessing as this light moves into the pelvis and the skeletal structure of the pelvis
154020	160480	moving down into the bones and the skeletal structure of the thighs, the knees, the calves, ankles, feet.
167460	173520	And witnessing as it moves up the body so that it's filling your spinal column,
175080	181420	filling the ribs, the chest, the entire rib cage.
184880	187620	Witness as it's filling the throat,
190520	191980	filling the skull,
193840	196060	all of the bones in the face.
198020	200620	So everything that's giving you structure,
201580	203600	everything that's giving you form,
204400	208760	everything that is holding you together
208760	211900	is being filled with your light,
213520	216160	your divine essence, your divine blueprint,
218500	220740	your divine awareness, your divine consciousness.
228160	231580	So in this session, we're working with the waxing moon.
231740	236080	We're working with taking the skeletal structure,
236320	239780	taking this structured element, taking this framework,
242540	256840	and allowing it to be empowered, strengthened, for the integrity at the center of it to be established, re-established.
265520	270540	And with this comes a sense of trust, a sense of security.
278000	282700	and from this place we open to expansion
286600	293260	just bringing the awareness to the earth and bringing the awareness to where our lit up
293260	300440	skeletal structure is meeting the earth beneath us and witnessing as a light in the earth
300540	310400	is activated and our grid in the earth is activated. Your grid in the earth is activated.
317500	329940	And witnessing that on an entire globe, you have a grid that spans the entire globe.
337220	347340	Witnessing that for you, maybe there's a part of the globe that's expanded and lit up or activated.
348360	353040	Maybe there's a small part that's expanded and activated.
354980	358460	and there's no judgment in this whatsoever
358460	361660	but at the same time just witnessing the capacity
362440	363680	that you have
367740	371040	so witness what is actually lit up at the moment
371040	374320	and then witnessing the capacity that you have
374320	377460	and witnessing that capacity lighting up
383720	389580	Now with the waxing moon, what we have is basically more and more of the capacity of the moon is being seen.
390780	396100	And with this, we're having more and more of our grid, more and more of our capacity being seen.
401040	406020	In this element, we're opening up to grow. We're opening up to expand.
406300	412380	So we're opening up to grow and expand the perspective of what we have the capacity.
413040	413680	to receive
420260	425520	just opening up for the things that you're growing the things that you're expanding the
425520	430780	things that you're welcoming in and this could be in your life it could be in your business
431720	436100	maybe it's money maybe it's community maybe it's experiences
440100	442740	maybe it's certain relationships
447620	450360	maybe it's creating and creation
454200	457360	maybe it's content maybe it's connection
467640	470640	Maybe it's your capacity to be more alive.
472940	474060	Maybe it's health.
475160	477020	Maybe it's wellness and wellbeing.
485100	486980	But just open to all of the things
486980	488280	that you're saying yes to
488820	490320	in terms of progression and growth.
501260	507660	and just opening now from this connection that you've got with your earth grid opening to
508820	514920	bring your awareness to the crown of your head and just to bring your awareness to the activation
514920	518900	of the cosmic elements,
519140	521380	the universal elements of your grid.
523640	527340	And again, noticing the capacity
528540	530620	of this blueprint, this grid,
530880	533600	as it goes through all times and spaces,
533600	536020	as it goes through the entire universe.
539140	540960	And again, we come to the point
540960	543120	where you are the center of your universe.
547140	555080	and you're lighting up and activating an entire universe, the entire universe.
560740	565040	And witnessing as the things that you're progressing, the things that you're growing,
566280	569920	gets activated in the universal field of you.
582220	591300	And now with this activation, just opening up for more and more of this to be revealed
591300	597660	in your physical form, in your physical experience, in your physical reality.
604500	606640	so if it's health and well-being
608320	618680	opening up for the people who will act as reflections opening up for the experiences
619900	629400	opening up for environments and events opening up for spaces that are just filled with wellness
629400	637000	and well-being and so they tap in and act as catalysts for the activation of your wellness
637000	645820	and well-being that these be brought forward in physical form and be revealed more and more in
645820	650400	physical form as you move forward.
653980	657800	If it's business and if it's activating new clients,
661600	669880	just seeing the grid switched on, both on a physical level and on a cosmic universal level,
673220	675460	witnessing that you are being guided
677600	679920	to the spaces to the places
681920	685440	you're being guided to the ways that you can activate more and more
687340	693280	so that people just simply show up or you are placed in
695940	700660	situations and experiences where you can activate people.
707400	711460	Witnessing the grace and the evolution at the center of all of that.
719440	723280	if it's about finances and resources and more money
725380	728720	witnessing this frequency activating on your grid
729740	737280	in physical form and also witnessing this frequency activating on your grid
737280	738920	in universal form
742260	746160	so you're being guided, you're being directed,
746820	752600	and also that you're opening up streams very naturally
754980	757080	for money to flow to you,
758540	761020	for resources to flow to you,
763520	768440	for places of exchange to flow to you.
779420	784560	I'm just witnessing as more and more of the grid is activated, more and more of the capacity
784560	785860	of the grid is revealed.
798920	801060	Now I'm being brought to the actual grid
801060	802540	and the experience of the grid.
802800	809100	So there's a sense of placing your feet on the earth
809100	810720	or the ground beneath you.
814440	817480	And just witnessing as the earth is activated,
817720	819700	however that witnessing comes for you.
820020	822340	It might be that you see light,
822500	824560	a light grid activated in the earth.
824880	827640	It might be that you just feel a pulse in the earth.
828920	833300	that it's just an awareness, a conscious awareness of the connection to the earth.
836600	838660	But however this activation occurs,
841400	844780	just seeing and feeling a sense of switching on.
852920	857540	And then noticing where this switching on naturally guides you to.
860580	864160	Maybe it guides you to a particular place.
866020	868260	Maybe it guides you to travel.
868560	871860	Maybe it guides you to a place in nature.
875500	880700	Maybe it guides you to make a connection through an email.
882060	886440	Make a connection through sending a voice message.
890380	894820	but ultimately it will guide you to connect the dot
897380	903720	so it will guide you to connect a dot and connecting a dot is basically bringing your
903720	911980	physical self your physical vibration your physical being into connection with something else
918200	923380	and as you do this, it opens up more, it reveals more and more of your grid,
925660	930060	and that revelation is happening in your consciousness, but it's also happening in
930060	932660	the reality of your energy field.
943100	946220	Now, the next thing that's coming forward is aligned action.
948380	956220	Very often we feel like aligned action should bring immediate results.
957520	963480	And ultimately aligned action just acts as an activation for the connection of the dots.
964540	970900	So for example, you might connect with someone with a voice note.
970900	979400	and maybe that voice note isn't responded to straight away but maybe the connection of the
979400	985360	voice note opens up something in the field that that means that somebody else connects to you
985360	990900	because it opens a readiness in the field it opens something in the field that says yes
990900	1001860	I'm activated, I'm ready, I'm switched on. Maybe there's a sense of going to a particular place,
1002040	1006340	and you get to the particular place and nothing major is happening, but you're there.
1007080	1012960	But something about that place activates something within you. Maybe it's a frequency in the place,
1013120	1019720	maybe it's somebody in the place that carries a particular frequency, but activates you in a way
1020900	1023520	the field and also activates your grid.
1024360	1029080	And it says, yes, I'm here, I'm open, I'm ready.
1030100	1033080	And it opens a portal for something to occur.
1033720	1036440	So this is a way that these activations happen.
1037520	1040620	And they need a level of consistency with them
1041420	1043640	because it's about connecting the dots
1043640	1046140	so more and more of the capacity is connected.
1048240	1055660	when the moon is waxing just because we can't see the moon doesn't mean the moon is
1055660	1063060	not there so just because we can see only a sliver of the moon doesn't mean that the rest of the moon
1063060	1069140	isn't existing and this is essentially what we're doing with the connecting of the dots
1069140	1085020	We're literally opening up to reveal more and more of our capacity by going out into the world or being in the world or expressing in the world that allows for the dots to be connected.
1087320	1091140	So opening up for all of this with grace and evolution.
1096060	1099880	opening up for all of this with a sense of natural resonance
1103900	1110060	opening for all of this with a sense of it being in flow and in alignment
1115100	1120900	opening up for you to connect the dots that reveals more and more of yourself and your
1121140	1129280	capacity as a universal being, your capacity as being at the center of your universe.
1142100	1147520	And with the growth element, with growing, it's simply connecting more and more dots.
1147520	1154640	so what occurs in the beginning stage is that the activation is there and the activation
1154640	1162500	requires consistency because it requires the same pulse the same frequency to be available
1162500	1169000	as the resonant match before that happens the frequency goes in and out
1171060	1176780	so it needs basically a conscious connection for you that's there to be a consistency in
1177520	1186960	is pulsing. And as this frequency begins to pulse, it begins to activate more and more of the field,
1188220	1190680	activating more and more of the resonant matches.
1192460	1201460	And as a frequency is pulsing, it's only because you're connecting the dots. That's activating
1201460	1208880	more and more of your field. And as you connect more of the dots, more of the dots are connected
1208880	1226700	on a universal level. So just bringing this into the heart and into the core of you, bringing this
1226700	1232020	into the skeletal structure of you, bringing this into the beingness of you, that you'll be
1232020	1238280	empowered in your stance. You'll be empowered in the way that you're able to bring this forward
1238280	1242700	and to connect the dots and that this will feel in alignment.
1250760	1256940	All right, bringing this energy back from the cosmos into your body, bringing this energy
1256940	1263420	up from your grid at the center of the earth and in the earth into your physical body,
1263660	1267240	bringing this intelligence right into the skeletal structure of you,
1268420	1271940	and knowing that this is available to you at any time.
1276720	1279180	And when you're ready, opening your eyes.
